// 8332 mirai-httpflooding-2-dec
"No.","Time","Source","Destination","Protocol","Length","Info"
"228","0.678993","192.168.0.16","13.250.244.41","TLSv1.2","509","[TCP Previous segment not captured] , Application Data"
"229","0.679110","192.168.0.16","13.250.244.41","TLSv1.2","431","[TCP Previous segment not captured] , Application Data"
"230","0.679477","192.168.0.16","13.250.244.41","TLSv1.2","208","Application Data"
"234","0.715124","192.168.0.16","13.250.244.41","TLSv1.2","429","[TCP Previous segment not captured] , Application Data"
"235","0.715198","192.168.0.16","13.250.244.41","TLSv1.2","208","Application Data"
"236","0.715492","192.168.0.16","17.42.254.11","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"237","0.726824","104.118.134.215","192.168.0.24","TCP","1507","[TCP Previous segment not captured]  [TCP segment of a reassembled PDU]"
"238","0.727015","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"243","0.767429","192.168.0.16","13.250.244.41","TLSv1.2","437","[TCP Previous segment not captured] , Application Data"
"244","0.767550","192.168.0.16","13.250.244.41","TLSv1.2","208","Application Data"
"245","0.768320","13.250.244.41","192.168.0.16","TLSv1.2","462","Application Data"
"246","0.773765","13.250.244.41","192.168.0.16","TLSv1.2","571","[TCP ACKed unseen segment] , Application Data"
"251","0.864141","192.168.0.16","13.250.244.41","TLSv1.2","554","Application Data"
"252","0.864564","192.168.0.16","13.250.244.41","TLSv1.2","137","Application Data"
"253","0.899560","13.250.244.41","192.168.0.16","TLSv1.2","476","Application Data"
"270","0.954796","17.42.254.11","192.168.0.16","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"273","0.961099","13.250.244.41","192.168.0.16","TLSv1.2","675","Application Data"
"275","0.970580","13.250.244.41","192.168.0.16","TLSv1.2","1304","Application Data"
"276","0.971028","192.168.0.16","13.250.244.41","TLSv1.2","464","Application Data"
"281","1.040675","192.168.0.16","163.152.1.1","DNS","80","Standard query 0x6600 A sgplog.ezvizlife.com"
"282","1.042687","192.168.0.16","163.152.1.1","DNS","77","Standard query 0x2538 A api.ezvizlife.com"
"290","1.047441","163.152.1.1","192.168.0.16","DNS","486","Standard query response 0x2538 A api.ezvizlife.com CNAME ezvizlife-1003918287.ap-southeast-1.elb.amazonaws.com A 13.250.217.66 A 13.250.244.41 NS ns-1973.awsdns-54.co.uk NS ns-1125.awsdns-12.org NS ns-210.awsdns-26.com NS ns-785.awsdns-34.net A 205.251.192.210 A 205.251.195.17 A 205.251.196.101 A 205.251.199.181 AAAA 2600:9000:5300:d200::1 AAAA 2600:9000:5303:1100::1 AAAA 2600:9000:5304:6500::1 AAAA 2600:9000:5307:b500::1"
"291","1.048830","163.152.1.1","192.168.0.16","DNS","488","Standard query response 0x6600 A sgplog.ezvizlife.com CNAME sgpdclog-1483869871.ap-southeast-1.elb.amazonaws.com A 13.228.245.106 A 52.220.136.156 NS ns-1125.awsdns-12.org NS ns-785.awsdns-34.net NS ns-1973.awsdns-54.co.uk NS ns-210.awsdns-26.com A 205.251.192.210 A 205.251.195.17 A 205.251.196.101 A 205.251.199.181 AAAA 2600:9000:5300:d200::1 AAAA 2600:9000:5303:1100::1 AAAA 2600:9000:5304:6500::1 AAAA 2600:9000:5307:b500::1"
"292","1.068542","13.250.244.41","192.168.0.16","TLSv1.2","715","Application Data"
"311","1.209451","13.250.244.41","192.168.0.16","TLSv1.2","796","Application Data"
"330","1.269311","192.168.0.16","17.42.254.11","TLSv1.2","682","Application Data"
"331","1.277637","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"335","1.278264","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"336","1.278604","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"337","1.278939","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"338","1.279013","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"339","1.279156","192.168.0.16","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"340","1.279230","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"341","1.279303","fe80::1c60:edf4:f8a0:e9b7","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question OPT"
"342","1.280294","192.168.0.16","17.42.254.11","TLSv1.2","672","Application Data"
"343","1.302256","104.118.134.215","192.168.0.24","TCP","1507","[TCP Previous segment not captured] 443  >  43238 [ACK] Seq=51877 Ack=1 Win=252 Len=1441 TSval=480122456 TSecr=49138 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU]"
"344","1.303939","192.168.0.16","163.152.1.1","DNS","81","Standard query 0xe04c A pushsgp.ezvizlife.com"
"347","1.304825","192.168.0.16","13.250.244.41","TLSv1.2","430","Application Data"
"348","1.304901","192.168.0.16","13.250.244.41","TLSv1.2","231","Application Data"
"350","1.315350","163.152.1.1","192.168.0.16","DNS","487","Standard query response 0xe04c A pushsgp.ezvizlife.com CNAME pushmbs-929947093.ap-southeast-1.elb.amazonaws.com A 13.250.85.51 A 46.51.222.63 NS ns-210.awsdns-26.com NS ns-785.awsdns-34.net NS ns-1973.awsdns-54.co.uk NS ns-1125.awsdns-12.org A 205.251.192.210 A 205.251.195.17 A 205.251.196.101 A 205.251.199.181 AAAA 2600:9000:5300:d200::1 AAAA 2600:9000:5303:1100::1 AAAA 2600:9000:5304:6500::1 AAAA 2600:9000:5307:b500::1"
"354","1.330941","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"359","1.357293","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"365","1.411754","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"372","1.415217","192.168.0.16","13.250.217.66","TLSv1.2","583","Client Hello"
"373","1.415588","192.168.0.16","13.228.245.106","HTTP","618","POST /multistatistics.do HTTP/1.1  (application/x-www-form-urlencoded)"
"376","1.424401","192.168.0.16","13.250.85.51","TLSv1.2","583","Client Hello"
"377","1.430561","13.250.244.41","192.168.0.16","TLSv1.2","413","Application Data"
"379","1.436660","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"384","1.495667","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data"
"429","1.521582","13.250.217.66","192.168.0.16","TLSv1.2","1514","Server Hello"
"433","1.522383","13.228.245.106","192.168.0.16","HTTP","71","HTTP/1.1 200 OK  (text/plain)"
"437","1.523273","13.250.217.66","192.168.0.16","TLSv1.2","511","Certificate, Server Key Exchange, Server Hello Done"
"438","1.539154","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"443","1.540163","192.168.0.16","13.250.217.66","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"445","1.560650","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"447","1.569673","13.250.244.41","192.168.0.16","TLSv1.2","572","[TCP ACKed unseen segment] , Application Data"
"448","1.590639","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"450","1.609541","13.250.244.41","192.168.0.16","TLSv1.2","557","[TCP ACKed unseen segment] , Application Data"
"451","1.619541","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"452","1.619771","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"456","1.665434","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"458","1.688352","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"459","1.688498","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"460","1.688570","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"461","1.688693","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"464","1.695295","192.168.0.16","163.152.1.1","DNS","80","Standard query 0x8de2 A sgpcas.ezvizlife.com"
"468","1.699210","192.168.0.16","13.250.244.41","TLSv1.2","436","Application Data"
"469","1.699380","192.168.0.16","13.250.244.41","TLSv1.2","446","Application Data"
"470","1.699931","192.168.0.16","13.250.244.41","TLSv1.2","441","Application Data"
"471","1.700010","192.168.0.16","13.250.244.41","TLSv1.2","208","Application Data"
"472","1.700088","192.168.0.16","13.250.244.41","TLSv1.2","217","Application Data"
"473","1.700162","192.168.0.16","13.250.244.41","TLSv1.2","208","Application Data"
"474","1.705378","163.152.1.1","192.168.0.16","DNS","494","Standard query response 0x8de2 A sgpcas.ezvizlife.com CNAME sgpcas-out-1510998693.ap-southeast-1.elb.amazonaws.com A 3.1.172.83 A 52.74.228.134 NS ns-785.awsdns-34.net NS ns-210.awsdns-26.com NS ns-1125.awsdns-12.org NS ns-1973.awsdns-54.co.uk A 205.251.192.226[Malformed Packet]"
"476","1.723311","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"478","1.744554","13.250.85.51","192.168.0.16","TLSv1.2","511","[TCP Previous segment not captured] , Ignored Unknown Record"
"488","1.755058","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"489","1.755198","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"515","1.781065","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"516","1.781152","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"521","1.801720","13.250.244.41","192.168.0.16","TLSv1.2","557","Application Data"
"538","1.806326","13.250.244.41","192.168.0.16","TLSv1.2","447","Application Data"
"541","1.807994","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"542","1.808118","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"544","1.816286","13.250.244.41","192.168.0.16","TLSv1.2","454","Application Data"
"546","1.835220","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"547","1.835336","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"552","1.861467","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"554","1.914151","104.118.134.215","192.168.0.24","TCP","1507","[TCP Previous segment not captured]  [TCP segment of a reassembled PDU]"
"555","1.972606","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"556","1.972788","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"562","2.160096","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"586","2.283974","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"587","2.284748","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"592","2.297359","192.168.0.16","163.152.1.1","DNS","81","Standard query 0xa522 A vtmthtx.ezvizlife.com"
"593","2.303311","163.152.1.1","192.168.0.16","DNS","410","Standard query response 0xa522 A vtmthtx.ezvizlife.com A 150.109.162.107 NS ns-1163.awsdns-17.org NS ns-408.awsdns-51.com NS ns-599.awsdns-10.net NS ns-1808.awsdns-34.co.uk A 205.251.193.152 A 205.251.194.87 A 205.251.196.139 A 205.251.199.16 AAAA 2600:9000:5301:9800::1 AAAA 2600:9000:5302:5700::1 AAAA 2600:9000:5304:8b00::1 AAAA 2600:9000:5307:1000::1"
"594","2.345332","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"596","2.361891","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"597","2.362013","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"598","2.362199","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"614","2.371173","192.168.0.16","13.250.217.66","TLSv1.2","382","Application Data"
"617","2.371442","192.168.0.16","13.250.217.66","TLSv1.2","283","Application Data"
"622","2.395996","192.168.0.16","13.250.244.41","TLSv1.2","583","Client Hello"
"623","2.404016","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"625","2.409311","192.168.0.33","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"626","2.409503","192.168.0.33","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"627","2.409649","192.168.0.33","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"628","2.409864","192.168.0.33","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"629","2.412641","192.168.0.33","239.255.255.250","SSDP","193","M-SEARCH * HTTP/1.1 "
"630","2.412919","192.168.0.33","239.255.255.250","SSDP","189","M-SEARCH * HTTP/1.1 "
"631","2.413038","192.168.0.33","239.255.255.250","SSDP","189","M-SEARCH * HTTP/1.1 "
"632","2.413187","192.168.0.33","239.255.255.250","SSDP","189","M-SEARCH * HTTP/1.1 "
"635","2.423040","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"637","2.442797","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"638","2.443055","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"646","2.477930","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"654","2.481800","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"655","2.514214","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"656","2.514329","104.118.134.215","192.168.0.24","TCP","1507","[TCP segment of a reassembled PDU]"
"658","2.516473","192.168.0.16","3.1.172.83","SSLv3","214","Client Hello"
"686","2.622626","3.1.172.83","192.168.0.16","SSLv3","1514","Server Hello"
"689","2.622938","3.1.172.83","192.168.0.16","SSLv3","979","Certificate, Server Hello Done"
"703","2.701290","13.250.244.41","192.168.0.16","TLSv1.2","511","[TCP Previous segment not captured] , Ignored Unknown Record"
"713","2.753487","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"734","2.825291","119.205.211.228","192.168.0.33","TLSv1.2","1514","Application Data"
"739","2.827683","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"742","2.832759","119.205.211.228","192.168.0.33","TLSv1.2","1514","[TCP Previous segment not captured] , Ignored Unknown Record"
"744","2.844694","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"745","2.844914","13.250.217.66","192.168.0.16","TLSv1.2","299","Application Data"
"758","2.898782","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"771","2.919070","192.168.0.16","3.1.172.83","SSLv3","406","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"773","2.919219","192.168.0.16","3.1.172.83","SSLv3","214","Client Hello"
"774","2.923233","192.168.0.16","13.250.85.51","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"803","3.013006","3.1.172.83","192.168.0.16","SSLv3","1514","Server Hello"
"806","3.013271","3.1.172.83","192.168.0.16","SSLv3","979","Certificate, Server Hello Done"
"817","3.019128","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"823","3.020233","192.168.0.16","3.1.172.83","SSLv3","406","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"828","3.030545","13.250.85.51","192.168.0.16","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"829","3.031428","3.1.172.83","192.168.0.16","SSLv3","141","Change Cipher Spec, Encrypted Handshake Message"
"833","3.032650","192.168.0.16","13.250.85.51","TLSv1.2","636","Application Data"
"834","3.033311","192.168.0.16","3.1.172.83","SSLv3","428","Application Data, Application Data"
"842","3.050448","192.168.0.16","13.250.244.41","TLSv1.2","494","Application Data"
"856","3.108500","3.1.172.83","192.168.0.16","SSLv3","141","Change Cipher Spec, Encrypted Handshake Message"
"860","3.110808","192.168.0.16","3.1.172.83","SSLv3","428","Application Data, Application Data"
"863","3.121094","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"872","3.140618","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"874","3.143238","13.250.85.51","192.168.0.16","TLSv1.2","480","Application Data"
"879","3.152212","13.250.244.41","192.168.0.16","TLSv1.2","449","Application Data"
"894","3.211987","3.1.172.83","192.168.0.16","SSLv3","396","Application Data, Application Data"
"898","3.214008","192.168.0.16","3.1.172.83","SSLv3","103","Encrypted Alert"
"906","3.230403","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data, Encrypted Data"
"911","3.242287","192.168.0.16","13.250.244.41","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"915","3.248267","3.1.172.83","192.168.0.16","SSLv3","396","Application Data, Application Data"
"917","3.250690","192.168.0.16","3.1.172.83","SSLv3","103","Encrypted Alert"
"948","3.331936","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"955","3.367209","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"959","3.367826","13.250.244.41","192.168.0.16","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"1039","3.556415","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"1052","3.583949","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"1062","3.598941","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data [TCP segment of a reassembled PDU]"
"1114","3.694069","192.168.0.16","3.1.172.83","SSLv3","214","Client Hello"
"1117","3.694614","192.168.0.16","13.250.244.41","TLSv1.2","323","Application Data"
"1158","3.698719","104.118.134.215","192.168.0.24","SSLv2","1507","[TCP Fast Retransmission] , Encrypted Data"
"1171","3.721208","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data"
"1188","3.769858","104.118.134.215","192.168.0.24","SSLv2","1507","Encrypted Data"
"1280","4.096462","13.250.244.41","192.168.0.16","TLSv1.2","1514","[TCP Previous segment not captured] , Ignored Unknown Record"
